id,video_name,title,role,scene,age,gender,accent,mood,speed,sample_text
1,001_汽车品牌广告——沉稳男声,汽车品牌广告——沉稳男声,品牌代言人 / 旁白者,高端汽车TVC、品牌宣传片,35–45岁,男,普通话，略带磁性低沉,自信、从容、富有掌控感,中速偏慢，音量中等偏低，尾音略带回响感,每一次出发，都不只是一段旅程。当引擎低吟，城市在身后退去，山川在眼前铺展，你会发现——真正的自由，不是速度的极限，而是掌控的从容。它懂你的节奏，也尊重你的沉默。在喧嚣之外，给你一个只属于自己的空间。不是所有的路都需要奔跑，有些路，值得你慢慢品味。全新旗舰，为你而来。
2,002_奢侈品广告——优雅女声,奢侈品广告——优雅女声,品牌叙述者,珠宝、香水、高定时装广告,28–35岁,女,普通话，发音精致，咬字清晰,优雅、从容、略带神秘感,慢速，音量轻柔，气息感明显,她不需要回头，便已留下一道光。那些被时间遗忘的美，总在某个不经意的瞬间重现——一滴琥珀色的光，落在锁骨之上，比月光更温柔。真正的奢侈，不是拥有，而是成为。成为那个让人移不开目光的存在。经典，从未被超越，因为它本身就是标准。
3,003_科技产品广告——活力男声,科技产品广告——活力男声,产品经理 / 发布会主讲人,手机、智能设备发布会广告,28–35岁,男,普通话，清晰利落，节奏明快,兴奋、自信、充满感染力,中速偏快，音量中高，重音突出,这，不仅仅是一次升级，这是一次彻底的进化。我们重新定义了你与科技之间的关系——更快的响应，更智能的交互，更懂你的每一个细节。从你拿起它的那一刻起，你就知道，未来已经到来。不是我们在追赶未来，是未来在等我们。准备好，迎接全新的可能。
4,004_家居生活广告——温暖女声,家居生活广告——温暖女声,家庭主妇 / 生活博主,家居用品、母婴产品广告,30–40岁,女,普通话，柔和自然，有亲和力,温馨、安心、治愈,中速，音量适中，语调柔和起伏小,家是什么味道的？是清晨阳光透过窗帘的那一束光，是厨房里飘出的第一缕饭香，是孩子跑过来抱住你时的小手。我们相信，好的生活不需要很贵，但一定要用心。每一个小细节，都是给家人最好的礼物。柔软的触感，温暖的陪伴，让每一天都值得期待。
5,005_运动品牌广告——激昂男声,运动品牌广告——激昂男声,运动员 / 体育解说员,运动鞋、运动服饰品牌广告,25–35岁,男,普通话，有力，带爆发力,热血、激昂、不服输,前慢后快，音量由低到高，情绪递进,你说我不行？那就让结果说话。每一次跌倒，都是下一次起跳的蓄力。汗水浸透的不只是衣服，更是那些不被看好的夜晚。没有人天生就是冠军，但冠军一定是在别人放弃时还在坚持的那个人。别问终点在哪里——你跑起来的那一刻，整个世界都是你的赛道。
6,006_金融保险广告——可靠男声,金融保险广告——可靠男声,理财顾问 / 银行经理,银行、保险、基金产品广告,35–50岁,男,标准普通话，字正腔圆,稳重、可靠、专业,中速，音量平稳适中，无明显情绪波动,财富的意义，不在于数字的大小，而在于它能为你守护什么——是孩子的教育，是父母的晚年，是你和家人每一个安心的明天。我们始终相信，稳健是最好的策略，远见是最深的智慧。用专业守护您的每一分信任，让未来多一份确定。与您同行，值得托付。
7,007_快消品广告——甜美女声,快消品广告——甜美女声,年轻消费者 / 校园女生,零食、饮料、日化小商品广告,18–25岁,女,普通话，语调活泼上扬,甜美、俏皮、开心,中速偏快，音量中等，尾音上扬带笑意,嘿，你有没有过那种——咬一口就停不下来的感觉？就是那种酥酥脆脆的，甜而不腻的，每一口都像在舌尖上跳舞的感觉！心情不好的时候来一包，心情好的时候更要来一包，因为快乐这件事，永远不嫌多嘛！好吃到根本藏不住，快和你的小姐妹一起分享吧！
8,008_房地产广告——大气男声,房地产广告——大气男声,品牌叙述者,高端楼盘、城市宣传片,35–45岁,男,普通话，浑厚饱满，有播音腔,大气、恢弘、有格局感,中速偏慢，音量中高，气息悠长,一座城市的精神，往往藏在它的天际线里。当晨光洒落，江水东流，两岸的繁华与宁静在此交汇。这不仅是一处居所，更是一种对生活品质的宣言。站在高处，看见的不只是风景，更是人生的另一种格局。择一城终老，遇一人白首。这座城市，值得你最好的年华。
9,009_化妆品广告——魅惑女声,化妆品广告——魅惑女声,品牌大使 / 时尚编辑,彩妆、护肤品牌广告,25–35岁,女,普通话，发音精致，略带慵懒感,性感、魅惑、自信,慢速，音量偏低，气声明显,你有没有注意过，镜子前的自己，眼神里藏着什么样的故事？一抹红唇，不只是颜色，是态度。一层薄雾般的底妆，不只是遮瑕，是自在。美，从来不需要被定义。你定义自己的那一刻，就是最动人的时候。让每一寸肌肤，都呼吸着自信的光芒。
10,010_啤酒/饮料广告——豪爽男声,啤酒/饮料广告——豪爽男声,"朋友聚会中的""大哥""",啤酒、碳酸饮料广告,25–40岁,男,普通话，略带北方口音，爽朗,豪爽、热情、真性情,中速偏快，音量较高，笑声自然,兄弟，别装了！忙了一整天，不就等这一刻嘛——冰的，满的，一口下去，从嗓子凉到心里。什么烦恼，先放一放。人生嘛，该拼的时候拼，该喝的时候喝，该笑的时候大声笑。这杯敬自己，下一杯敬兄弟。来，干了！夏天的快乐，就该这么简单直接。
11,011_公益广告——深情女声,公益广告——深情女声,公益倡导者,环保、扶贫、关爱留守儿童公益片,30–40岁,女,普通话，温柔而有力量,深情、触动、略带感伤,中速偏慢，音量中等，气息感丰富,你知道吗？在中国，有超过六百万留守儿童，他们的夜晚没有故事书，没有晚安吻，只有爷爷奶奶的旧收音机和窗外的虫鸣声。他们不是不想念爸爸妈妈，只是已经学会了不哭。每一个孩子都值得被看见，每一份爱都不该被距离隔断。伸出你的手，哪怕只是一点点温暖，也能照亮一个孩子的整个世界。
12,012_教育培训广告——知性女声,教育培训广告——知性女声,资深教师 / 教育品牌主理人,在线教育平台、培训机构广告,30–45岁,女,标准普通话，清晰准确,亲切、有感染力、循循善诱,中速，音量适中，节奏从容,学习从来不是一场苦行，而是一把打开新世界的钥匙。也许你曾在某道题前停下脚步，也许你曾因为一次考试怀疑自己。但请相信，每一次困惑都是成长的前奏。我们不教你死记硬背，我们教你思考的方法，帮你找到属于自己的节奏。因为最好的教育，不是填满一个容器，而是点燃一把火。
13,013_游戏广告——热血男声,游戏广告——热血男声,游戏角色 / 热血少年,手游、端游推广广告,18–28岁,男,普通话，充满活力，有爆发力,热血、中二、燃,由慢到快，音量逐渐升高，重音强烈,他们说这只是个游戏，但对我来说，这是战场。每一次冲锋都是信仰，每一次配合都是默契。在这里，没有弱者的位置——只有不断变强的人，才能站到最后。兄弟们，集结！这一次，我们不是来参与的，我们是来统治的。让对手记住我们的名字。战斗，现在开始！
14,014_航空/旅游广告——开阔男声,航空/旅游广告——开阔男声,旅行者 / 品牌叙述者,航空公司、旅行社、旅游局广告,30–40岁,男,普通话，声音开阔通透,向往、自由、诗意,中速偏慢，音量适中，语调舒展,世界那么大，总有一个地方在等你。也许是一片从未见过的海，蓝得让人心颤；也许是一条走过千年的老街，石板路上还留着时光的温度。走出去，不是逃避生活，而是让生活更完整。每一次出发，都是和自己的一次重逢。带上好奇心，世界会给你答案。
15,015_宠物用品广告——可爱女声,宠物用品广告——可爱女声,宠物主人 / 萌宠博主,宠物食品、宠物用品广告,20–30岁,女,普通话，语调偏高，有萌感,可爱、宠溺、开心,中速偏快，音量中等，尾音软萌,"每次回家，它都在门口等你，尾巴摇得像小风扇一样——那一刻，什么疲惫都消散了。它不会说""我爱你""，但它的每个眼神都在说。所以啊，给它最好的，不是宠爱，是本分。天然的食材，科学的配方，让它陪你更久更健康。因为它的全世界，只有你呀。"
16,016_武侠小说——豪迈男声,武侠小说——豪迈男声,说书人 / 旁白,金庸、古龙武侠有声书,35–50岁,男,普通话，略带古风韵律,豪迈、苍凉、快意恩仇,快慢交替，音量起伏大，重音有力,那一年，他提着一壶酒，独自走在华山之巅。风很大，吹得衣袍猎猎作响。他不怕风，也不怕剑。他怕的，是这世上再没有一个值得他出剑的人。江湖，说到底不过是一场又一场的相遇与别离。有的人用剑说话，有的人用命相搏。而他，只是想找一个能对饮到天明的知己。
17,017_言情小说——温柔女声,言情小说——温柔女声,女主人公 / 第三人称叙述,都市言情、青春校园小说,20–30岁,女,普通话，柔和细腻,温柔、心动、微微害羞,中速偏慢，音量轻柔，内心独白时更低,他转身的那一刻，我的心跳漏了半拍。不是因为他说了什么特别的话，而是他的眼神，像极了深秋午后的一杯热可可——温暖的，让人想靠近又不敢靠近的。我低下头假装看手机，耳朵却红得发烫。有些喜欢，就是这么没有道理。明知道会心动，还是忍不住一次又一次地偷偷看他。
18,018_悬疑推理——阴沉男声,悬疑推理——阴沉男声,侦探 / 叙述者,悬疑推理小说、播客,30–45岁,男,普通话，低沉，略带沙哑,冷静、压迫感、若有深意,偏慢，音量偏低，停顿较多,死者倒在书房中央，面朝天花板，嘴角似乎带着一丝微笑。门是反锁的，窗户完好无损，监控记录显示当晚没有任何人进出。一切都指向一个不可能的结论。但我知道——越是完美的密室，越藏着最不完美的谎言。真相不会消失，它只是在等一个足够耐心的人。
19,019_儿童故事——活泼女声,儿童故事——活泼女声,幼儿园老师 / 故事姐姐,儿童睡前故事、绘本伴读,22–30岁,女,普通话，语调夸张上扬,活泼、夸张、童趣十足,中速，音量适中，角色切换时变化明显,"在一座很高很高的山上，住着一只小小的兔子，它的名字叫""跳跳""。为什么叫跳跳呢？因为它呀，一天到晚都在蹦蹦蹦，蹦蹦蹦！有一天，跳跳遇到了一条小河，它想过河去看对面的花花。可是，它不会游泳呀！怎么办呢？一只乌龟爷爷慢——慢——地游过来说：""别着急，骑到我背上来吧！"""
20,020_历史纪实——沧桑男声,历史纪实——沧桑男声,历史学者 / 纪录片旁白,历史题材有声书、纪录片解说,45–60岁,男,普通话，浑厚，略带沧桑感,深沉、感慨、有历史厚重感,偏慢，音量中等，气息悠长,公元1368年，一个曾经在寺庙里讨饭吃的年轻人，站在了南京城的城楼上。他身后是百万雄师，脚下是万里江山。没有人能想到，这个出身贫寒的放牛娃，会成为大明王朝的开国皇帝。历史从不相信出身，它只记住那些不肯认命的人。朱元璋的一生，就是对命运最有力的反驳。
21,021_科幻小说——冷静男声,科幻小说——冷静男声,飞船AI / 科学家,科幻小说、赛博朋克题材,30–40岁,男,普通话，语调平稳，略带机械感,冷静、理性、超然,匀速，音量平稳，几乎无情绪波动,"2147年3月15日，地球标准时间零点整。""方舟三号""进入第四次空间折叠。舱外温度显示为零下271摄氏度，距最近的恒星还有4.7光年。所有冬眠舱状态正常，3872名乘客生命体征平稳。这是我第七千六百零一次播报航行日志。目前没有异常。只是有时候，在漫长的寂静中，我会想——如果我也有梦，会梦见什么？"
22,022_仙侠小说——空灵女声,仙侠小说——空灵女声,仙子 / 师姐,仙侠、修仙题材有声书,20–30岁（声音年龄）,女,普通话，空灵清澈，有古典韵味,清冷、仙气、淡然,慢速，音量轻，像山间回音,三千年修得一缕仙缘，却换不来你一次回眸。那日桃花纷落，你持剑而立，白衣胜雪。我以为那便是永恒。可人间不过弹指一挥，沧海已成桑田。若来生还能相遇，我愿只做你掌心的一片落花，不求天长地久，只求那一瞬的温柔。
23,023_都市职场——干练女声,都市职场——干练女声,职场女强人 / 女主角,都市职场小说、女性成长题材,28–38岁,女,普通话，干脆利落，有节奏感,自信、果断、偶尔柔软,中速偏快，音量适中，关键句加重,"会议室里，所有人都在等她开口。她站起来，环视一周，没有多余的寒暄。""这个方案不行，推翻重做。""声音不大，但每个字都掷地有声。有人觉得她太强势，可她知道，在这个世界上，温柔是一种选择，但实力才是底气。她不需要被所有人喜欢，她只需要对得起自己。"
24,024_恐怖故事——阴森男声,恐怖故事——阴森男声,恐怖故事讲述者,恐怖小说、午夜电台、恐怖播客,30–50岁,男,普通话，气声多，偶尔耳语,阴森、压迫、制造恐惧感,慢速，音量极低到突然升高，有惊吓效果,你有没有听过这样一个故事？在某个小镇的尽头，有一栋没有人住的房子。不是因为闹鬼——至少，一开始不是。搬进去的第一户人家说，每天晚上三点，楼上的走廊里会传来脚步声。他们上去看过，没有人。但第二天早上，卧室的门会莫名其妙地打开。第三天，他们在镜子里看到了一个不该存在的人影。然后，第四天——他们就再也没有出来过。
